Date,Time,Temp.[°C],pH ,mV[pH],ORP[mV],EC[µS/cm],EC Abs.[µS/cm],RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],Remarks,Interval
9/4/2023,16:22:22,19.54,5.25,81.5,288.6,55610,49850,0,27.8,36.99,26.4,14.532,,23
9/4/2023,16:27:22,19.56,5.25,81.4,288.7,55610,49860,0,27.8,36.99,26.4,14.529,,24
9/4/2023,16:32:22,19.57,5.25,81.3,288.6,55600,49860,0,27.8,36.98,26.4,14.529,,25
9/4/2023,16:37:22,19.58,5.26,81.2,288.6,55610,49890,0,27.8,36.99,26.4,14.526,,26
9/4/2023,16:42:22,19.59,5.26,81.1,288.7,55610,49900,0,27.81,37,26.4,14.53,,27
9/4/2023,16:47:22,19.61,5.26,81,288.7,55620,49920,0,27.81,37,26.4,14.528,,28
9/4/2023,16:52:22,19.62,5.26,80.9,288.7,55620,49940,0,27.81,37,26.4,14.525,,29
9/4/2023,16:57:22,19.63,5.26,80.8,288.7,55620,49950,0,27.81,37,26.4,14.531,,30
9/4/2023,17:02:22,19.64,5.27,80.8,288.7,55620,49960,0,27.81,37,26.4,14.529,,31
9/4/2023,17:07:22,19.66,5.27,80.7,288.7,55630,49980,0,27.81,37.01,26.4,14.527,,32
9/4/2023,17:12:22,19.67,5.27,80.5,288.9,55640,50010,0,27.82,37.02,26.4,14.526,,33
9/4/2023,17:17:22,19.68,5.27,80.6,288.9,55550,49930,0,27.77,36.95,26.3,14.526,,34
9/4/2023,17:22:22,19.69,5.27,80.8,288.8,55540,49930,0,27.77,36.94,26.3,14.523,,35
9/4/2023,17:27:22,19.7,5.26,80.8,288.9,55420,49840,0,27.71,36.85,26.3,14.526,,36
9/4/2023,17:32:22,19.71,5.26,81,288.9,52940,47620,0,26.47,35,24.8,14.523,,37
9/4/2023,17:37:22,19.72,5.27,80.5,290.7,47620,42840,0,23.81,31.09,21.9,14.522,,38
9/4/2023,17:42:22,19.73,5.26,81,288.1,31560,28400,0,15.78,19.72,13.2,14.52,,39
9/4/2023,17:47:22,19.74,5.24,82.1,286.1,31420,28280,0,15.71,19.63,13.1,14.519,,40
9/4/2023,17:52:22,19.75,5.23,83,285.4,31310,28190,0,15.65,19.55,13.1,14.518,,41
9/4/2023,17:57:22,19.76,5.21,84,285,31380,28260,0,15.69,19.6,13.1,14.525,,42
9/4/2023,18:02:22,19.77,5.2,84.5,285.8,31270,28160,0,15.63,19.52,13.1,14.521,,43
9/4/2023,18:07:22,19.78,5.2,84.4,285.4,31270,28170,0,15.63,19.52,13,14.522,,44
9/4/2023,18:12:22,19.79,5.2,84.4,285.4,31320,28220,0,15.66,19.55,13.1,14.52,,45
9/4/2023,18:17:22,19.79,5.21,84.3,285.4,31150,28070,0,15.57,19.44,13,14.524,,46
9/4/2023,18:22:22,19.81,5.21,84.2,285.6,31310,28220,0,15.65,19.55,13.1,14.52,,47
9/4/2023,18:27:22,19.81,5.21,84.2,285.6,31410,28310,0,15.7,19.61,13.1,14.522,,48
9/4/2023,18:32:22,19.82,5.21,84.1,285.4,31080,28020,0,15.54,19.39,12.9,14.523,,49
9/4/2023,18:37:22,19.83,5.21,84,285.7,31230,28160,0,15.61,19.49,13,14.523,,50
9/4/2023,18:42:22,19.84,5.22,83.6,285.6,31180,28130,0,15.59,19.46,13,14.527,,51
9/4/2023,18:47:22,19.85,5.22,83.3,285.5,31160,28110,0,15.58,19.44,13,14.523,,52
9/4/2023,18:52:22,19.86,5.18,85.6,285.5,31050,28010,0,15.52,19.36,12.9,14.526,,53
9/4/2023,18:57:22,19.87,5.18,85.5,285.4,31140,28100,0,15.57,19.43,13,14.524,,54
9/4/2023,19:02:22,19.87,5.19,85.3,285.4,31280,28230,0,15.64,19.52,13,14.523,,55
9/4/2023,19:07:22,19.88,5.19,85.1,285.5,30870,27870,0,15.43,19.25,12.8,14.524,,56
9/4/2023,19:12:22,19.89,5.19,85,285.4,31060,28040,0,15.53,19.37,12.9,14.526,,57
9/4/2023,19:17:22,19.89,5.2,84.8,285.6,30940,27940,0,15.47,19.29,12.8,14.522,,58
9/4/2023,19:22:22,19.91,5.2,84.5,285.3,31130,28110,0,15.56,19.42,12.9,14.522,,59
9/4/2023,19:27:22,19.91,5.21,84.2,285.3,30830,27850,0,15.42,19.22,12.8,14.526,,60
9/4/2023,19:32:22,19.92,5.21,83.9,285.2,31130,28130,0,15.56,19.42,12.9,14.525,,61
9/4/2023,19:37:22,19.93,5.22,83.6,285.2,31280,28270,0,15.64,19.53,13,14.525,,62
9/4/2023,19:42:22,19.93,5.22,83.3,285.2,30870,27900,0,15.43,19.24,12.8,14.522,,63
9/4/2023,19:47:22,19.94,5.23,82.9,285.3,30840,27870,0,15.42,19.22,12.8,14.526,,64
9/4/2023,19:52:22,19.95,5.19,85.2,285,30700,27760,0,15.35,19.13,12.7,14.525,,65
9/4/2023,19:57:22,19.96,5.19,85,285.1,31070,28090,0,15.53,19.38,12.9,14.527,,66
9/4/2023,20:02:22,19.97,5.2,84.6,285.2,31190,28200,0,15.59,19.46,13,14.529,,67
9/4/2023,20:07:22,19.97,5.21,84.3,284.9,31250,28260,0,15.62,19.5,13,14.529,,68
9/4/2023,20:12:22,19.98,5.21,84,284.9,31140,28170,0,15.57,19.43,12.9,14.523,,69
9/4/2023,20:17:22,19.98,5.21,83.7,284.9,31030,28070,0,15.51,19.35,12.9,14.526,,70
9/4/2023,20:22:22,19.99,5.22,83.4,284.8,30710,27790,0,15.35,19.13,12.7,14.528,,71
9/4/2023,20:27:22,20,5.23,83.1,284.8,30850,27920,0,15.43,19.23,12.8,14.524,,72
9/4/2023,20:32:22,20.01,5.23,82.8,284.8,30970,28030,0,15.48,19.31,12.8,14.527,,73
9/4/2023,20:37:22,20.01,5.24,82.4,285.1,31190,28240,0,15.59,19.46,13,14.525,,74
9/4/2023,20:42:22,20.02,5.2,84.4,284.7,30940,28010,0,15.47,19.29,12.8,14.524,,75
9/4/2023,20:47:22,20.03,5.2,84.4,284.5,30890,27970,0,15.44,19.25,12.8,14.526,,76
9/4/2023,20:52:22,20.03,5.21,84.3,284.5,30940,28020,0,15.47,19.29,12.8,14.518,,77
9/4/2023,20:57:22,20.04,5.21,84,284.6,31080,28150,0,15.54,19.39,12.9,14.517,,78
9/4/2023,21:02:22,20.04,5.22,83.7,284.5,31290,28350,0,15.64,19.53,13,14.515,,79
9/4/2023,21:07:22,20.06,5.22,83.3,284.4,31220,28290,0,15.61,19.48,13,14.519,,80
9/4/2023,21:12:22,20.06,5.23,83,284.4,31000,28090,0,15.5,19.33,12.8,14.519,,81
9/4/2023,21:17:22,20.07,5.23,82.7,284.3,30860,27970,0,15.43,19.24,12.8,14.517,,82
9/4/2023,21:22:22,20.07,5.24,82.3,284.3,30990,28090,0,15.49,19.32,12.8,14.517,,83
9/4/2023,21:27:22,20.08,5.21,84.1,284.4,31040,28140,0,15.52,19.36,12.9,14.516,,84
9/4/2023,21:32:22,20.08,5.21,83.9,284.5,31040,28140,0,15.52,19.36,12.9,14.518,,85
9/4/2023,21:37:22,20.09,5.22,83.7,284.4,30910,28030,0,15.45,19.27,12.8,14.515,,86
9/4/2023,21:42:22,20.09,5.22,83.3,284.2,30970,28080,0,15.48,19.31,12.8,14.523,,87
9/4/2023,21:47:22,20.1,5.23,83,284.1,30830,27960,0,15.41,19.21,12.7,14.515,,88
9/4/2023,21:52:22,20.11,5.24,82.6,284,30750,27890,0,15.37,19.16,12.7,14.516,,89
9/4/2023,21:57:22,20.11,5.24,82.1,284,30840,27970,0,15.42,19.22,12.7,14.515,,90
9/4/2023,22:02:22,20.12,5.22,83.5,283.9,30910,28040,0,15.45,19.27,12.8,14.511,,91
9/4/2023,22:07:22,20.12,5.22,83.5,283.9,30920,28060,0,15.46,19.28,12.8,14.516,,92
9/4/2023,22:12:22,20.13,5.23,83.2,283.8,30940,28080,0,15.47,19.29,12.8,14.514,,93
9/4/2023,22:17:22,20.13,5.23,83,283.7,30960,28100,0,15.48,19.3,12.8,14.511,,94
9/4/2023,22:22:22,20.14,5.24,82.5,283.8,30840,27990,0,15.42,19.22,12.7,14.515,,95
9/4/2023,22:27:22,20.14,5.25,82,284.1,30920,28070,0,15.46,19.28,12.8,14.514,,96
9/4/2023,22:32:22,20.14,5.26,81.4,283.7,30730,27900,0,15.36,19.15,12.7,14.512,,97
9/4/2023,22:37:22,20.15,5.22,83.3,283.6,30920,28070,0,15.46,19.28,12.8,14.511,,98
9/4/2023,22:42:22,20.16,5.22,83.2,283.5,30960,28110,0,15.48,19.3,12.8,14.512,,99
9/4/2023,22:47:22,20.16,5.23,82.8,283.5,31240,28360,0,15.62,19.49,12.9,14.51,,100
9/4/2023,22:52:22,20.16,5.24,82.3,283.5,31080,28230,0,15.54,19.39,12.9,14.513,,101
9/4/2023,22:57:22,20.17,5.25,82,283.5,30750,27930,0,15.37,19.16,12.7,14.51,,102
9/4/2023,23:02:22,20.17,5.25,81.6,283.4,31080,28230,0,15.54,19.38,12.9,14.511,,103
9/4/2023,23:07:22,20.17,5.26,80.9,283.6,31040,28190,0,15.52,19.36,12.8,14.507,,104
9/4/2023,23:12:22,20.18,5.27,80.4,283.4,30830,28010,0,15.41,19.22,12.7,14.507,,105
9/4/2023,23:17:22,20.18,5.23,82.8,283,30760,27940,0,15.38,19.17,12.7,14.508,,106
9/4/2023,23:22:22,20.18,5.24,82.6,283.1,31080,28240,0,15.54,19.39,12.9,14.507,,107
9/4/2023,23:27:22,20.19,5.24,82.3,283.1,31170,28320,0,15.58,19.45,12.9,14.505,,108
9/4/2023,23:32:22,20.19,5.25,82,283.1,30960,28130,0,15.48,19.3,12.8,14.504,,109
9/4/2023,23:37:22,20.2,5.25,81.6,283,30900,28080,0,15.45,19.26,12.8,14.505,,110
9/4/2023,23:42:22,20.21,5.26,81.3,282.9,30990,28160,0,15.49,19.32,12.8,14.501,,111
9/4/2023,23:47:22,20.21,5.26,80.9,283,30860,28050,0,15.43,19.23,12.7,14.501,,112
9/4/2023,23:52:22,20.22,5.27,80.6,283.1,30930,28120,0,15.46,19.28,12.8,14.507,,113
9/4/2023,23:57:22,20.22,5.28,80.2,282.6,31130,28310,0,15.56,19.42,12.9,14.505,,114
9/5/2023,0:02:22,20.23,5.28,79.9,282.5,30970,28160,0,15.48,19.31,12.8,14.501,,115
9/5/2023,0:07:22,20.23,5.29,79.5,282.6,30880,28080,0,15.44,19.25,12.7,14.501,,116
9/5/2023,0:12:22,20.24,5.25,81.6,282.7,31170,28350,0,15.58,19.45,12.9,14.5,,117
9/5/2023,0:17:22,20.24,5.25,81.7,282.3,30880,28080,0,15.44,19.25,12.7,14.497,,118
9/5/2023,0:22:22,20.24,5.25,81.6,282.2,30990,28190,0,15.49,19.32,12.8,14.494,,119
9/5/2023,0:27:22,20.24,5.26,81.3,282.2,30740,27960,0,15.37,19.15,12.7,14.49,,120
9/5/2023,0:32:22,20.25,5.26,81.1,282.2,30990,28200,0,15.49,19.32,12.8,14.493,,121
9/5/2023,0:37:22,20.26,5.27,80.7,282.1,30780,28000,0,15.39,19.18,12.7,14.491,,122
9/5/2023,0:42:22,20.27,5.28,80.2,282.4,30990,28210,0,15.5,19.33,12.8,14.489,,123
9/5/2023,0:47:22,20.27,5.29,79.6,282.2,30680,27920,0,15.34,19.11,12.6,14.486,,124
9/5/2023,0:52:22,20.28,5.3,79.2,282.1,30980,28200,0,15.49,19.31,12.8,14.487,,125
9/5/2023,0:57:22,20.28,5.3,78.8,281.9,31170,28370,0,15.58,19.45,12.9,14.486,,126
9/5/2023,1:02:22,20.28,5.31,78.3,281.9,30810,28050,0,15.4,19.2,12.7,14.487,,127
9/5/2023,1:07:22,20.29,5.26,81,282,30590,27850,0,15.29,19.05,12.6,14.484,,128
9/5/2023,1:12:22,20.29,5.27,80.8,281.9,30530,27800,0,15.26,19.01,12.5,14.484,,129
9/5/2023,1:17:22,20.29,5.27,80.6,281.9,30750,28000,0,15.37,19.16,12.7,14.488,,130
9/5/2023,1:22:22,20.29,5.27,80.5,282,30560,27830,0,15.28,19.03,12.6,14.488,,131
9/5/2023,1:27:22,20.3,5.28,80,281.8,30770,28020,0,15.38,19.17,12.7,14.491,,132
9/5/2023,1:32:22,20.31,5.29,79.5,281.7,31170,28390,0,15.58,19.45,12.9,14.489,,133
9/5/2023,1:37:22,20.32,5.3,79.1,281.8,30610,27890,0,15.31,19.07,12.6,14.488,,134
9/5/2023,1:42:22,20.32,5.3,78.7,281.7,30510,27800,0,15.25,18.99,12.5,14.488,,135
9/5/2023,1:47:22,20.32,5.31,78.3,281.6,30500,27790,0,15.25,18.98,12.5,14.486,,136
9/5/2023,1:52:22,20.33,5.32,77.9,281.5,30360,27670,0,15.18,18.89,12.4,14.485,,137
9/5/2023,1:57:22,20.33,5.28,80.2,281.6,29840,27190,0,14.92,18.53,12.2,14.484,,138
9/5/2023,2:02:22,20.33,5.28,80.4,281.6,29880,27230,0,14.94,18.56,12.2,14.483,,139
9/5/2023,2:07:22,20.33,5.28,79.9,281.4,30260,27580,0,15.13,18.82,12.4,14.478,,140
9/5/2023,2:12:22,20.34,5.29,79.6,281.2,30590,27880,0,15.29,19.05,12.6,14.478,,141
9/5/2023,2:17:22,20.35,5.3,79.2,281.3,30700,27990,0,15.35,19.13,12.6,14.478,,142
9/5/2023,2:22:22,20.35,5.3,78.8,281.1,30130,27470,0,15.06,18.74,12.3,14.478,,143
9/5/2023,2:27:22,20.36,5.31,78.5,281.2,30800,28080,0,15.4,19.19,12.7,14.477,,144
9/5/2023,2:32:22,20.36,5.32,78,281.2,29380,26790,0,14.69,18.23,11.9,14.48,,145
9/5/2023,2:37:22,20.36,5.28,80.3,281.1,29880,27250,0,14.94,18.56,12.2,14.476,,146
9/5/2023,2:42:22,20.37,5.28,80,280.8,30580,27880,0,15.29,19.04,12.5,14.484,,147
9/5/2023,2:47:22,20.37,5.29,79.6,280.6,30670,27970,0,15.33,19.1,12.6,14.489,,148
9/5/2023,2:52:22,20.38,5.3,79.1,280.6,30140,27490,0,15.07,18.74,12.3,14.483,,149
9/5/2023,2:57:22,20.38,5.3,78.7,280.5,29790,27170,0,14.89,18.5,12.1,14.488,,150
9/5/2023,3:02:22,20.39,5.31,78.3,280.5,30450,27790,0,15.22,18.95,12.5,14.492,,151
9/5/2023,3:07:22,20.39,5.32,77.8,280.5,30210,27570,0,15.1,18.79,12.4,14.482,,152
9/5/2023,3:12:22,20.39,5.33,77.4,280.5,30060,27430,0,15.03,18.69,12.3,14.483,,153
9/5/2023,3:17:22,20.4,5.34,76.9,280.4,29820,27220,0,14.91,18.52,12.1,14.477,,154
9/5/2023,3:22:22,20.41,5.29,79.6,280.5,30570,27900,0,15.29,19.04,12.5,14.481,,155
9/5/2023,3:27:22,20.41,5.29,79.3,280.3,29810,27210,0,14.9,18.52,12.1,14.479,,156
9/5/2023,3:32:22,20.41,5.3,78.9,280.1,31140,28420,0,15.57,19.42,12.8,14.476,,157
9/5/2023,3:37:22,20.41,5.31,78.5,280.4,30890,28200,0,15.44,19.25,12.7,14.477,,158
9/5/2023,3:42:22,20.42,5.32,78,280.3,29990,27380,0,14.99,18.64,12.2,14.475,,159
9/5/2023,3:47:22,20.43,5.33,77.2,280.2,30640,27970,0,15.32,19.08,12.6,14.474,,160
9/5/2023,3:52:22,20.43,5.34,76.5,280.3,29830,27240,0,14.91,18.53,12.1,14.475,,161
9/5/2023,3:57:22,20.43,5.35,76,280.2,30460,27810,0,15.23,18.96,12.5,14.473,,162
9/5/2023,4:02:22,20.44,5.3,79,279.8,30380,27750,0,15.19,18.91,12.4,14.465,,163
9/5/2023,4:07:22,20.44,5.3,78.9,279.7,30420,27790,0,15.21,18.93,12.4,14.455,,164
9/5/2023,4:12:22,20.44,5.31,78.6,279.6,30320,27700,0,15.16,18.86,12.4,14.456,,165
9/5/2023,4:17:22,20.44,5.31,78.2,279.5,30580,27940,0,15.29,19.04,12.5,14.453,,166
9/5/2023,4:22:22,20.45,5.32,77.8,279.5,30890,28220,0,15.44,19.25,12.7,14.455,,167
9/5/2023,4:27:22,20.46,5.33,77.3,279.5,30460,27830,0,15.23,18.96,12.5,14.45,,168
9/5/2023,4:32:22,20.46,5.33,77,279.5,30460,27830,0,15.23,18.96,12.5,14.45,,169
9/5/2023,4:37:22,20.47,5.34,76.5,279.7,30740,28090,0,15.37,19.15,12.6,14.447,,170
9/5/2023,4:42:22,20.47,5.35,76.2,279.3,30540,27910,0,15.27,19.01,12.5,14.452,,171
9/5/2023,4:47:22,20.47,5.36,75.6,279.4,30540,27920,0,15.27,19.02,12.5,14.452,,172
9/5/2023,4:52:22,20.48,5.31,78.5,279.2,30340,27730,0,15.17,18.87,12.4,14.453,,173
9/5/2023,4:57:22,20.48,5.31,78.4,279.2,30250,27650,0,15.12,18.82,12.3,14.455,,174
9/5/2023,5:02:22,20.48,5.32,78,279.2,31110,28440,0,15.55,19.4,12.8,14.455,,175
9/5/2023,5:07:22,20.48,5.32,77.7,279,30710,28080,0,15.36,19.13,12.6,14.456,,176
9/5/2023,5:12:22,20.48,5.33,77.3,279.1,30700,28060,0,15.35,19.12,12.6,14.455,,177
9/5/2023,5:17:22,20.48,5.34,76.8,279.1,30920,28260,0,15.46,19.27,12.7,14.46,,178
9/5/2023,5:22:22,20.48,5.34,76.5,279,30800,28160,0,15.4,19.19,12.6,14.46,,179
9/5/2023,5:27:22,20.49,5.35,76,278.9,30350,27750,0,15.17,18.88,12.4,14.461,,180
9/5/2023,5:32:22,20.49,5.36,75.6,278.4,30580,27960,0,15.29,19.04,12.5,14.459,,181
9/5/2023,5:37:22,20.5,5.36,75.3,278.2,30780,28140,0,15.39,19.17,12.6,14.471,,182
9/5/2023,5:42:22,20.5,5.37,74.9,278.1,30680,28050,0,15.34,19.1,12.6,14.472,,183
9/5/2023,5:47:22,20.51,5.33,77.5,278,30590,27970,0,15.29,19.04,12.5,14.476,,184
9/5/2023,5:52:22,20.51,5.33,77.5,277.8,30540,27940,0,15.27,19.02,12.5,14.475,,185
9/5/2023,5:57:22,20.51,5.33,77.1,277.9,30550,27950,0,15.27,19.02,12.5,14.48,,186
9/5/2023,6:02:22,20.51,5.34,76.6,277.8,30250,27670,0,15.12,18.81,12.3,14.482,,187
9/5/2023,6:07:22,20.51,5.35,76.1,277.8,30500,27900,0,15.25,18.99,12.5,14.481,,188
9/5/2023,6:12:22,20.52,5.36,75.4,277.9,30820,28190,0,15.41,19.2,12.6,14.48,,189
9/5/2023,6:17:22,20.52,5.37,74.9,277.6,30770,28150,0,15.38,19.17,12.6,14.471,,190
9/5/2023,6:22:22,20.53,5.33,77.3,277.6,30740,28120,0,15.37,19.15,12.6,14.462,,191
9/5/2023,6:27:22,20.53,5.33,77.2,277.5,30500,27910,0,15.25,18.98,12.5,14.466,,192
9/5/2023,6:32:22,20.53,5.34,76.8,277.6,30460,27880,0,15.23,18.96,12.4,14.466,,193
9/5/2023,6:37:22,20.53,5.35,76.2,277.4,30440,27860,0,15.22,18.95,12.4,14.463,,194
9/5/2023,6:42:22,20.54,5.36,75.5,277.3,30700,28100,0,15.35,19.12,12.6,14.467,,195
9/5/2023,6:47:22,20.54,5.37,74.9,277.5,30750,28140,0,15.37,19.16,12.6,14.475,,196
9/5/2023,6:52:22,20.54,5.34,76.8,277.3,31020,28390,0,15.51,19.34,12.7,14.471,,197
9/5/2023,6:57:22,20.54,5.34,76.6,277.4,30660,28060,0,15.33,19.09,12.5,14.474,,198
9/5/2023,7:02:22,20.55,5.35,76.2,277.3,30190,27640,0,15.09,18.77,12.3,14.473,,199
9/5/2023,7:07:22,20.56,5.36,75.7,276.7,30760,28160,0,15.38,19.16,12.6,14.479,,200
9/5/2023,7:12:22,20.56,5.37,75,276.9,30540,27960,0,15.27,19.01,12.5,14.476,,201
9/5/2023,7:17:22,20.56,5.38,74.4,276.6,31250,28610,0,15.62,19.5,12.8,14.483,,202
9/5/2023,7:22:22,20.56,5.34,76.9,276.8,30610,28020,0,15.3,19.06,12.5,14.48,,203
9/5/2023,7:27:22,20.56,5.34,76.6,276.6,30820,28230,0,15.41,19.21,12.6,14.484,,204
9/5/2023,7:32:22,20.57,5.35,76.2,276.5,30460,27900,0,15.23,18.96,12.4,14.481,,205
9/5/2023,7:37:22,20.57,5.36,75.6,276.4,30480,27910,0,15.24,18.97,12.4,14.481,,206
9/5/2023,7:42:22,20.57,5.37,75,276.4,30750,28160,0,15.37,19.16,12.6,14.488,,207
9/5/2023,7:47:22,20.57,5.34,76.5,276.6,30380,27820,0,15.19,18.9,12.4,14.488,,208
9/5/2023,7:52:22,20.58,5.35,76.3,276.3,30670,28090,0,15.33,19.1,12.5,14.494,,209
9/5/2023,7:57:22,20.58,5.36,75.8,276.3,30910,28320,0,15.45,19.27,12.7,14.495,,210
9/5/2023,8:02:22,20.58,5.37,75,276.3,30350,27800,0,15.17,18.88,12.4,14.499,,211
9/5/2023,8:07:22,20.58,5.38,74.2,276.5,30520,27960,0,15.26,19,12.5,14.498,,212
9/5/2023,8:12:22,20.59,5.34,76.4,276.2,30860,28270,0,15.43,19.23,12.6,14.498,,213
9/5/2023,8:17:22,20.59,5.35,76.1,276.1,30600,28030,0,15.3,19.05,12.5,14.496,,214
9/5/2023,8:22:22,20.59,5.36,75.5,276.1,30600,28030,0,15.3,19.05,12.5,14.498,,215
9/5/2023,8:27:22,20.59,5.37,74.8,276.2,30900,28310,0,15.45,19.26,12.7,14.493,,216
9/5/2023,8:32:22,20.59,5.39,74.1,275.9,30300,27760,0,15.15,18.84,12.3,14.5,,217
9/5/2023,8:37:22,20.59,5.35,76,275.9,30280,27740,0,15.14,18.83,12.3,14.503,,218
9/5/2023,8:42:22,20.59,5.36,75.5,276,30970,28380,0,15.48,19.31,12.7,14.497,,219
9/5/2023,8:47:22,20.59,5.37,74.8,276,30780,28200,0,15.39,19.18,12.6,14.503,,220
9/5/2023,8:52:22,20.59,5.39,74.1,275.9,30330,27780,0,15.16,18.86,12.4,14.508,,221
9/5/2023,8:57:22,20.59,5.4,73.3,275.9,30600,28040,0,15.3,19.05,12.5,14.509,,222
9/5/2023,9:02:22,20.59,5.36,75.8,275.8,30530,27970,0,15.26,19,12.5,14.508,,223
9/5/2023,9:07:22,20.59,5.36,75.5,275.5,31100,28500,0,15.55,19.4,12.8,14.51,,224
9/5/2023,9:12:22,20.59,5.37,75.1,275.4,30600,28030,0,15.3,19.05,12.5,14.518,,225
9/5/2023,9:17:22,20.59,5.38,74.4,275.6,30690,28110,0,15.34,19.11,12.5,14.513,,226
9/5/2023,9:22:22,20.59,5.4,73.5,275.4,31040,28440,0,15.52,19.35,12.7,14.517,,227
9/5/2023,9:27:22,20.59,5.36,75.3,274.8,30650,28080,0,15.32,19.09,12.5,14.509,,228
9/5/2023,9:32:22,20.59,5.36,75.4,274.8,30390,27840,0,15.19,18.91,12.4,14.513,,229
9/5/2023,9:37:22,20.58,5.37,74.9,274.8,30390,27840,0,15.19,18.91,12.4,14.517,,230
9/5/2023,9:42:22,20.58,5.38,74.2,275,30030,27510,0,15.01,18.66,12.2,14.514,,231
9/5/2023,9:47:22,20.58,5.37,74.8,275.1,30680,28100,0,15.34,19.11,12.5,14.513,,232
9/5/2023,9:52:22,20.58,5.37,75,274.8,30620,28050,0,15.31,19.07,12.5,14.517,,233
9/5/2023,9:57:22,20.58,5.38,74.5,274.6,30600,28040,0,15.3,19.06,12.5,14.519,,234
9/5/2023,10:02:22,20.58,5.39,74,274.9,30150,27620,0,15.07,18.75,12.3,14.521,,235
9/5/2023,10:07:22,20.58,5.4,73.4,274.7,30440,27880,0,15.22,18.94,12.4,14.524,,236
9/5/2023,10:12:22,20.58,5.41,72.7,274.8,30310,27770,0,15.15,18.86,12.4,14.523,,237
9/5/2023,10:17:22,20.58,5.42,71.9,274.8,30470,27910,0,15.23,18.96,12.4,14.529,,238
9/5/2023,10:22:22,20.58,5.38,74.2,274.8,29610,27120,0,14.8,18.37,12,14.528,,239
9/5/2023,10:27:22,20.58,5.38,74.4,274.8,30350,27800,0,15.17,18.88,12.4,14.527,,240
9/5/2023,10:32:22,20.58,5.39,74,274.7,30580,28020,0,15.29,19.04,12.5,14.529,,241
9/5/2023,10:37:22,20.58,5.4,73.4,274.6,30680,28110,0,15.34,19.11,12.5,14.531,,242
9/5/2023,10:42:22,20.58,5.41,72.9,274.5,30660,28090,0,15.33,19.09,12.5,14.531,,243
9/5/2023,10:47:22,20.58,5.42,72.2,274.7,30660,28090,0,15.33,19.09,12.5,14.532,,244
9/5/2023,10:52:22,20.58,5.43,71.6,274.4,30880,28280,0,15.44,19.24,12.6,14.535,,245
9/5/2023,10:57:22,20.58,5.4,73.1,273.8,30770,28190,0,15.38,19.17,12.6,14.529,,246
9/5/2023,11:02:22,20.58,5.39,74,273.8,30440,27880,0,15.22,18.94,12.4,14.534,,247
9/5/2023,11:07:22,20.58,5.39,73.6,273.7,30040,27520,0,15.02,18.67,12.2,14.533,,248
9/5/2023,11:12:22,20.58,5.4,73.1,273.4,30690,28120,0,15.34,19.12,12.6,14.536,,249
