1.1.4.6,1.1,Pecten,,,,,1155.31,1126.36,,22.74,16.5,1.61,33.797,4.609,25.774,26.832,Calcite,0.01,,0
1.1.5.1,1.1,Saccostrea,,,,,584.68,556.65,,15.59,10.91,1.59,NA,NA,NA,NA,Calcite,0,,0
1.1.5.2,1.1,Saccostrea,,,,,669.67,649.27,,16.18,10.7,1.84,NA,NA,NA,NA,Calcite,0,,0
1.1.5.3,1.1,Saccostrea,,,,,635.46,615.51,,10.28,11.84,3.95,NA,NA,NA,NA,Calcite,0,,0
1.1.5.4,1.1,Saccostrea,,,,,559.17,535.72,,16.33,10.23,1.52,NA,NA,NA,NA,Calcite,0,,0
1.1.5.5,1.1,Saccostrea,,,,,380.86,366.81,,10.59,11.04,2.19,NA,NA,NA,NA,Calcite,0,,0
1.1.5.6,1.1,Saccostrea,,,,,544.75,524.96,,10.75,10.19,2.42,NA,NA,NA,NA,Calcite,0,,0
1.1.6.1,1.1,Anadara,,,,,670.15,658.46,,8.69,10.35,3.15,31.96,23.639,9.899,10.369,Mixed,NA,"calcx is y, swapped",0
1.1.6.2,1.1,Anadara,,,,,839.05,818.61,,10.94,10.8,2.79,31.341,42.703,13.277,12.209,Mixed,NA,calcx is x,0
1.1.6.3,1.1,Anadara,,,,,1057.24,1029.65,,14.47,13.28,2.74,Nil,Nil,18.83,17.717,Mixed,NA,calcx is x,0
1.1.6.4,1.1,Anadara,,,,,693.58,678.97,,11.17,10.69,2.59,27.691,Nil,13.354,13.984,Mixed,NA,calcx is x,0
1.1.6.5,1.1,Anadara,,,,,717.44,703.36,,13.18,8.26,3.3,Nil,Nil,16.08,16.306,Mixed,NA,calcx is x,0
1.1.6.6,1.1,Anadara,,,,,410.88,399.19,,12.95,8.64,1.92,Nil,Nil,15.763,13.055,Mixed,NA,calcx is x,0
1.2.1.1,1.2,Aragonite,,,,,1809.25,1784.48,,10.72,8.62,7.83,NA,NA,NA,NA,Aragonite,NA,,0
1.2.1.2,1.2,Aragonite,,,,,1608.59,1587.62,,10.19,5.68,10.8,NA,NA,NA,NA,Aragonite,NA,,0
1.2.1.3,1.2,Aragonite,,,,,1347.45,1331.87,,13.65,5.3,6.63,NA,NA,NA,NA,Aragonite,NA,,0
1.2.1.4,1.2,Aragonite,,,,,1634.14,1591.8,,15.19,8.21,4.94,NA,NA,NA,NA,Aragonite,NA,bad measure,0
1.2.1.5,1.2,Aragonite,,,,,1960.9,1941.98,,7.6,5.86,13.8,NA,NA,NA,NA,Aragonite,NA,,0
1.2.1.6,1.2,Aragonite,,,,,1419.55,1402.66,,8.41,6.33,9.66,NA,NA,NA,NA,Aragonite,NA,,0
1.2.2.1,1.2,Calcite,,,,,960.78,950.34,,9.87,6.42,6.29,NA,NA,NA,NA,Calcite,0.01,,0
1.2.2.2,1.2,Calcite,,,,,1946.05,1932.7,,10.77,8.7,9.85,NA,NA,NA,NA,Calcite,0.01,,0
1.2.2.3,1.2,Calcite,,,,,177.23,172.69,,6.53,4.5,2.42,NA,NA,NA,NA,Calcite,0.01,,0
1.2.2.4,1.2,Calcite,,,,,768.68,761.04,,8.97,6.34,5.35,NA,NA,NA,NA,Calcite,0.01,,0
1.2.2.5,1.2,Calcite,,,,,625.56,616.63,,6.73,5.7,5.69,NA,NA,NA,NA,Calcite,0.01,,0
1.2.2.6,1.2,Calcite,,,,,823.5,814.44,,7.37,7.19,6.76,NA,NA,NA,NA,Calcite,0.01,,0
1.2.3.1,1.2,Centrostephanus,,,,,296.84,272.77,,73.19,2.8,2.83,NA,NA,NA,NA,Calcite,0.08,,0
1.2.3.2,1.2,Centrostephanus,,,,,194.26,0,,65.47,2.41,2.27,NA,NA,NA,NA,Calcite,0.08,broken,1
1.2.3.3,1.2,Centrostephanus,,,,,294,279.72,,58.6,2.9,3.04,NA,NA,NA,NA,Calcite,0.08,,0
1.2.3.4,1.2,Centrostephanus,,,,,200.78,0,,64.76,2.26,2.23,NA,NA,NA,NA,Calcite,0.08,broken,1
1.2.3.5,1.2,Centrostephanus,,,,,320.05,0,,69.69,2.99,3.12,NA,NA,NA,NA,Calcite,0.08,broken,1
1.2.3.6,1.2,Centrostephanus,,,,,274.47,248.17,,73.33,3.1,3.1,NA,NA,NA,NA,Calcite,0.08,,0
1.2.4.1,1.2,Pecten,,,,,721.77,693.82,,17.94,16.03,0.75,Nil,Nil,21.532,21.154,Calcite,0.01,,0
1.2.4.2,1.2,Pecten,,,,,1343.31,1315.01,,22.56,20.85,1.28,Nil,Nil,24.703,23.973,Calcite,0.01,,0
1.2.4.3,1.2,Pecten,,,,,937.62,908.66,,22.97,19.62,0.93,Nil,Nil,25.944,26.677,Calcite,0.01,,0
1.2.4.4,1.2,Pecten,,,,,1040.81,1008.61,,19.22,16.7,1.58,Nil,Nil,22.913,23.168,Calcite,0.01,,0
1.2.4.5,1.2,Pecten,,,,,1082.34,1050.58,,20.74,21.43,0.95,Nil,Nil,25.844,25.327,Calcite,0.01,,0
1.2.4.6,1.2,Pecten,,,,,609.72,590.67,,19.96,12.98,1.09,Nil,Nil,21.881,22.121,Calcite,0.01,,0
1.2.5.1,1.2,Saccostrea,,,,,457.93,430.02,,11.5,10.1,2.71,NA,NA,NA,NA,Calcite,0,corner flaking,0
1.2.5.2,1.2,Saccostrea,,,,,278.08,262.99,,13.43,9.8,1.14,NA,NA,NA,NA,Calcite,0,,0
1.2.5.3,1.2,Saccostrea,,,,,619,590.45,,12.47,10.6,3.05,NA,NA,NA,NA,Calcite,0,,0
1.2.5.4,1.2,Saccostrea,,,,,386.61,377.49,,11.54,8.8,2.17,NA,NA,NA,NA,Calcite,0,,0
1.2.5.5,1.2,Saccostrea,,,,,398.23,381.32,,11.57,9.42,2.32,NA,NA,NA,NA,Calcite,0,,0
1.2.5.6,1.2,Saccostrea,,,,,509.12,492.36,,10.72,9.24,2.65,NA,NA,NA,NA,Calcite,0,,0
1.2.6.1,1.2,Anadara,,,,,576.05,563.12,,9.31,8.98,2.42,Nil,Nil,11.627,10.668,Mixed,NA,calcx is x,0
1.2.6.2,1.2,Anadara,,,,,417.83,407.66,,9.27,8.2,2.45,Nil,Nil,10.5,11.568,Mixed,NA,calcx is x,0
1.2.6.3,1.2,Anadara,,,,,932.47,915,,15.23,9.05,2.74,Nil,Nil,17.694,19.226,Mixed,NA,calcx is x,0
1.2.6.4,1.2,Anadara,,,,,592.5,583.13,,11.25,8.64,2.52,Nil,Nil,11.011,11.895,Mixed,NA,calcx is x,0
1.2.6.5,1.2,Anadara,,,,,1088.8,1066.72,,11.39,11.33,4.13,Nil,Nil,14.068,14.045,Mixed,NA,calcx is x,0
1.2.6.6,1.2,Anadara,,,,,712.14,692.17,,11.71,9.18,3.11,Nil,Nil,13.891,14.422,Mixed,NA,calcx is x,0
1.3.1.1,1.3,Aragonite,,,,,1083.86,1065.79,,8.46,3.79,12.53,NA,NA,NA,NA,Aragonite,NA,,0
1.3.1.2,1.3,Aragonite,,,,,896.67,885.1,,7.13,5,9.62,NA,NA,NA,NA,Aragonite,NA,,0
1.3.1.3,1.3,Aragonite,,,,,1412.46,1389.92,,8.63,4.91,11.25,NA,NA,NA,NA,Aragonite,NA,,0
1.3.1.4,1.3,Aragonite,,,,,1332.56,1307.55,,9.39,6.84,7.97,NA,NA,NA,NA,Aragonite,NA,,0
1.3.1.5,1.3,Aragonite,,,,,827.3,806.25,,9.87,7,4.66,NA,NA,NA,NA,Aragonite,NA,,0
1.3.1.6,1.3,Aragonite,,,,,430.1,413.24,,6.48,2.83,9.66,NA,NA,NA,NA,Aragonite,NA,,0
1.3.2.1,1.3,Calcite,,,,,467.4,457.15,,8.53,7.76,3.11,NA,NA,NA,NA,Calcite,0.01,,0
1.3.2.2,1.3,Calcite,,,,,294.57,288.16,,6.43,4.92,3.99,NA,NA,NA,NA,Calcite,0.01,,0
1.3.2.3,1.3,Calcite,,,,,344.07,337.91,,5.38,4.97,5.02,NA,NA,NA,NA,Calcite,0.01,,0
1.3.2.4,1.3,Calcite,,,,,313.42,303.63,,8.66,5.79,2.78,NA,NA,NA,NA,Calcite,0.01,remeasured,0
1.3.2.5,1.3,Calcite,,,,,686.38,655.27,,12.86,4.77,4.17,NA,NA,NA,NA,Calcite,0.01,broken,1
1.3.2.6,1.3,Calcite,,,,,260.22,254.05,,6.35,4.25,3.86,NA,NA,NA,NA,Calcite,0.01,,0
1.3.3.1,1.3,Centrostephanus,,,,,227.94,205.38,,61.44,2.58,2.49,NA,NA,NA,NA,Calcite,0.08,,0
1.3.3.2,1.3,Centrostephanus,,,,,125.59,0,,55.33,1.88,1.78,NA,NA,NA,NA,Calcite,0.08,broken,1
1.3.3.3,1.3,Centrostephanus,,,,,232.77,0,,69.98,2.78,2.65,NA,NA,NA,NA,Calcite,0.08,broken,1
1.3.3.4,1.3,Centrostephanus,,,,,284.41,0,,63.59,3.06,2.95,NA,NA,NA,NA,Calcite,0.08,broken,1
1.3.3.5,1.3,Centrostephanus,,,,,186.95,156.04,,66.26,2.23,2.21,NA,NA,NA,NA,Calcite,0.08,broken,1
1.3.3.6,1.3,Centrostephanus,,,,,265.6,0,,64.04,2.93,2.96,NA,NA,NA,NA,Calcite,0.08,broken,1
1.3.4.1,1.3,Pecten,,,,,1000.42,976.4,,20.1,20.69,1.06,Nil,Nil,23.546,24.658,Calcite,0.01,,0
1.3.4.2,1.3,Pecten,,,,,1421.55,1396.4,,19.69,18.93,1.67,Nil,Nil,22.137,24.551,Calcite,0.01,,0
1.3.4.3,1.3,Pecten,,,,,942.68,912.48,,21.34,16.8,1.3,Nil,Nil,24.911,24.356,Calcite,0.01,,0
1.3.4.4,1.3,Pecten,,,,,949.64,889.45,,19.22,19.24,1.16,Nil,Nil,22.769,22.713,Calcite,0.01,broken,1
1.3.4.5,1.3,Pecten,,,,,657.97,625.08,,19.3,13.36,1.14,Nil,Nil,21.565,22.225,Calcite,0.01,,0
1.3.4.6,1.3,Pecten,,,,,614,591.55,,18.95,11.55,1.24,Nil,Nil,21.7,21.343,Calcite,0.01,,0
1.3.5.1,1.3,Saccostrea,,,,,757.57,728.25,,17.8,7.22,2.99,NA,NA,NA,NA,Calcite,0,,0
1.3.5.2,1.3,Saccostrea,,,,,490.61,463.96,,11.12,6.65,3.93,NA,NA,NA,NA,Calcite,0,broken,1
1.3.5.3,1.3,Saccostrea,,,,,725.09,702.71,,12.81,9.75,2.75,NA,NA,NA,NA,Calcite,0,,0
1.3.5.4,1.3,Saccostrea,,,,,1084.29,1036.24,,16.5,12.11,3.99,NA,NA,NA,NA,Calcite,0,,0
1.3.5.5,1.3,Saccostrea,,,,,715.56,690.65,,12.63,11.58,2.94,NA,NA,NA,NA,Calcite,0,broken,1
1.3.5.6,1.3,Saccostrea,,,,,530.02,494.14,,11.01,10.38,2.33,NA,NA,NA,NA,Calcite,0,broken,1
1.3.6.1,1.3,Anadara,,,,,1139.42,1121.74,,13.68,10.67,2.94,Nil,Nil,17.354,17.349,Mixed,NA,calcx is x,0
1.3.6.2,1.3,Anadara,,,,,625.89,613.6,,7.95,12.4,3.37,Nil,Nil,9.116,9.98,Mixed,NA,"calcx is y, swapped",0
1.3.6.3,1.3,Anadara,,,,,809.78,794.03,,13.7,10.08,2.77,Nil,Nil,16.741,15.489,Mixed,NA,calcx is x,0
1.3.6.4,1.3,Anadara,,,,,1605.21,1569.12,,15.13,12.76,3.17,Nil,Nil,18.943,17.661,Mixed,NA,calcx is x,0
1.3.6.5,1.3,Anadara,,,,,1318.74,1280.96,,16.52,15.72,2.56,Nil,Nil,17.145,19.884,Mixed,NA,calcx is x,0
1.3.6.6,1.3,Anadara,,,,,844.74,831.59,,15.11,9.21,2.46,Nil,Nil,18.26,18.069,Mixed,NA,calcx is x,0
